Sigla Empresa;Nombre;Fecha;Año;Número de Mes;Origen;Nombre;Ciudad Origen;Pais Origen;Destino;Nombre;Ciudad Destino;Pais Destino;Tráfico (N/I);Tipo Vuelo;Pasajeros;Carga + Correo (Kg)
0EC;SAE;01-ene-23 00:00:00;2023;1;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;ACR;ARARACUARA;ARARACUARA;COLOMBIA;N;T;1;45
0EC;SAE;01-ene-23 00:00:00;2023;1;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;GRM;GUERIMA;PUERTO CARRENO;COLOMBIA;N;T;1;5
0EC;SAE;01-ene-23 00:00:00;2023;1;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;COLOMBIA;N;T;1;27
0EC;SAE;01-ene-23 00:00:00;2023;1;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;LMC;LA MACARENA - META;LA MACARENA;COLOMBIA;N;T;5;45
0EC;SAE;01-ene-23 00:00:00;2023;1;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;PCE;CUMARIBO;PUERTO CARRENO;COLOMBIA;N;T;7;69
0EC;SAE;01-ene-23 00:00:00;2023;1;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;PCR;GERMAN OLANO;PUERTO CARRENO;COLOMBIA;N;T;4;100
0EC;SAE;01-ene-23 00:00:00;2023;1;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;PIM;LA PRIMAVERA;LA PRIMAVERA;COLOMBIA;N;T;1;27
0EC;SAE;01-ene-23 00:00:00;2023;1;VVC;VANGUARDIA;VILLAVICENCIO;COLOMBIA;PSO;PASTO - ANTONIO NARIQO;PASTO;COLOMBIA;N;T;0;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;A04;SANTA ROSA DEL SUR;SANTA ROSA DEL SUR;COLOMBIA;CUC;CAMILO DAZA;CUCUTA;COLOMBIA;N;T;2;15
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;A04;SANTA ROSA DEL SUR;SANTA ROSA DEL SUR;COLOMBIA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;N;T;2;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;ADZ;SAN ANDRES-GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;COLOMBIA;MTR;MONTERIA - LOS GARZONES;MONTERIA;COLOMBIA;N;T;0;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;AUC;ARAUCA - SANTIAGO PEREZ QUIROZ;ARAUCA - MUNICIPIO;COLOMBIA;TME;TAME;TAME;COLOMBIA;N;T;2;31
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;BBA;PIZARRO;BAJO BAUDO;COLOMBIA;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;N;T;10;20
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;BGA;BUCARAMANGA - PALONEGRO;BUCARAMANGA;COLOMBIA;A04;SANTA ROSA DEL SUR;SANTA ROSA DEL SUR;COLOMBIA;N;T;2;22
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;BGA;BUCARAMANGA - PALONEGRO;BUCARAMANGA;COLOMBIA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;N;T;0;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;BSC;BAHIA SOLANO - JOSE C. MUTIS;BAHIA SOLANO;COLOMBIA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;N;T;4;72
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CAQ;CAUCASIA- JUAN H. WHITE;CAUCASIA;COLOMBIA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;N;T;19;413
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CGW;SANTA ANA - VALLE;CARTAGO;COLOMBIA;CTG;CARTAGENA - RAFAEL NUQEZ;CARTAGENA;COLOMBIA;N;T;2;100
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;BBA;PIZARRO;BAJO BAUDO;COLOMBIA;N;T;11;20
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;N;T;0;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;ECR;EL CHORRO;GAMARRA;COLOMBIA;N;T;4;10
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;IPI;IPIALES - SAN LUIS;ALDANA;COLOMBIA;N;T;2;50
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;LOC;LOPEZ DE MICAI;LOPEZ (MICAY);COLOMBIA;N;T;11;50
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;PPN;GUILLERMO LEON VALENCIA;POPAYAN;COLOMBIA;N;T;2;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;TCO;TUMACO - LA FLORIDA;TUMACO;COLOMBIA;N;T;7;200
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CTG;CARTAGENA - RAFAEL NUQEZ;CARTAGENA;COLOMBIA;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;N;T;2;100
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;CUC;CAMILO DAZA;CUCUTA;COLOMBIA;AUC;ARAUCA - SANTIAGO PEREZ QUIROZ;ARAUCA - MUNICIPIO;COLOMBIA;N;T;2;27
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;ECR;EL CHORRO;GAMARRA;COLOMBIA;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;N;T;0;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;A04;SANTA ROSA DEL SUR;SANTA ROSA DEL SUR;COLOMBIA;N;T;2;31
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;BSC;BAHIA SOLANO - JOSE C. MUTIS;BAHIA SOLANO;COLOMBIA;N;T;4;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;CAQ;CAUCASIA- JUAN H. WHITE;CAUCASIA;COLOMBIA;N;T;19;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;MTR;MONTERIA - LOS GARZONES;MONTERIA;COLOMBIA;N;T;6;44
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;PPN;GUILLERMO LEON VALENCIA;POPAYAN;COLOMBIA;N;T;2;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;UIB;QUIBDO - EL CARAÑO;QUIBDO;COLOMBIA;N;T;4;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;URR;URRAO;URRAO;COLOMBIA;N;T;2;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;HTZ;HATO COROZAL;HATO COROZAL;COLOMBIA;BGA;BUCARAMANGA - PALONEGRO;BUCARAMANGA;COLOMBIA;N;T;2;36
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;IPI;IPIALES - SAN LUIS;ALDANA;COLOMBIA;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;N;T;2;50
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;LOC;LOPEZ DE MICAI;LOPEZ (MICAY);COLOMBIA;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;N;T;3;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;MDE;RIONEGRO - JOSE M. CORDOVA;RIONEGRO - ANTIOQUIA;COLOMBIA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;N;T;0;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;MTR;MONTERIA - LOS GARZONES;MONTERIA;COLOMBIA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;N;T;2;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;MTR;MONTERIA - LOS GARZONES;MONTERIA;COLOMBIA;MDE;RIONEGRO - JOSE M. CORDOVA;RIONEGRO - ANTIOQUIA;COLOMBIA;N;T;0;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;MTR;MONTERIA - LOS GARZONES;MONTERIA;COLOMBIA;PVA;PROVIDENCIA- EL EMBRUJO;PROVIDENCIA;COLOMBIA;N;T;0;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;PPN;GUILLERMO LEON VALENCIA;POPAYAN;COLOMBIA;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;N;T;2;75
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;PPN;GUILLERMO LEON VALENCIA;POPAYAN;COLOMBIA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;N;T;2;27
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;PPN;GUILLERMO LEON VALENCIA;POPAYAN;COLOMBIA;PSO;PASTO - ANTONIO NARIQO;PASTO;COLOMBIA;N;T;3;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;PPN;GUILLERMO LEON VALENCIA;POPAYAN;COLOMBIA;TBQ;TIMBIQUI;TIMBIQUI;COLOMBIA;N;T;0;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;PSO;PASTO - ANTONIO NARIQO;PASTO;COLOMBIA;PPN;GUILLERMO LEON VALENCIA;POPAYAN;COLOMBIA;N;T;5;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;PVA;PROVIDENCIA- EL EMBRUJO;PROVIDENCIA;COLOMBIA;ADZ;SAN ANDRES-GUSTAVO ROJAS PINILLA;SAN ANDRES - ISLA;COLOMBIA;N;T;1;45
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;TBQ;TIMBIQUI;TIMBIQUI;COLOMBIA;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;N;T;2;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;TCO;TUMACO - LA FLORIDA;TUMACO;COLOMBIA;CGW;SANTA ANA - VALLE;CARTAGO;COLOMBIA;N;T;2;100
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;TCO;TUMACO - LA FLORIDA;TUMACO;COLOMBIA;CLO;CALI - ALFONSO BONILLA ARAGON;CALI;COLOMBIA;N;T;5;145
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;TME;TAME;TAME;COLOMBIA;HTZ;HATO COROZAL;HATO COROZAL;COLOMBIA;N;T;2;45
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;UIB;QUIBDO - EL CARAÑO;QUIBDO;COLOMBIA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;N;T;4;0
0ED;GOOD FLY CO SAS;01-ene-23 00:00:00;2023;1;URR;URRAO;URRAO;COLOMBIA;EOH;MEDELLIN - OLAYA HERRERA;MEDELLIN;COLOMBIA;N;T;2;45
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;7IY;HATO SAN JOSE;LA PRIMAVERA;COLOMBIA;EYP;EL YOPAL;EL YOPAL;COLOMBIA;N;T;4;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;7IY;HATO SAN JOSE;LA PRIMAVERA;COLOMBIA;PIM;LA PRIMAVERA;LA PRIMAVERA;COLOMBIA;N;T;2;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;A06;EL ENCANTO;EL ENCANTO;COLOMBIA;PUR;PUERTO ARICA;LETICIA;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;A13;MIRITI PARANA;MIRITI-PARANA;COLOMBIA;LPD;LA PEDRERA;LA PEDRERA;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;ACR;ARARACUARA;ARARACUARA;COLOMBIA;LCH;LA CHORRERA - VIRGILIO BARCO VARGAS;LA CHORRERA;COLOMBIA;N;T;1;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;ACR;ARARACUARA;ARARACUARA;COLOMBIA;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;N;T;14;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;AUC;ARAUCA - SANTIAGO PEREZ QUIROZ;ARAUCA - MUNICIPIO;COLOMBIA;HTZ;HATO COROZAL;HATO COROZAL;COLOMBIA;N;T;2;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;CRU;CARURU;CARURU;COLOMBIA;MFS;MIRAFLORES;MIRAFLORES - GUAVIARE;COLOMBIA;N;T;3;0
1AE;AERO APOYO;01-ene-23 00:00:00;2023;1;CRU;CARURU;CARURU;COLOMBIA;SJE;SAN JOSE DEL GUAVIARE- JORGE E GONZ;SAN JOSE DEL GUAVIARE;COLOMBIA;N;T;35;0
